25461,1097,830,9,1,\N,1,'1',\N,25,57,1:33:56.736,\N,,,,,1
25462,1097,856,9,11,\N,2,'2',\N,18,57,+11.987s,\N,,,,,1
25463,1097,4,117,14,\N,3,'3',\N,15,57,+38.637s,\N,,,,,1
25464,1097,832,6,55,\N,4,'4',\N,12,57,+48.052s,\N,,,,,1
25465,1097,1,131,44,\N,5,'5',\N,10,57,+50.977s,\N,,,,,1
25466,1097,840,117,18,\N,6,'6',\N,8,57,+54.502s,\N,,,,,1
25467,1097,847,131,63,\N,7,'7',\N,6,57,+55.873s,\N,,,,,1
25468,1097,822,51,77,\N,8,'8',\N,4,57,+72.647s,\N,,,,,1
25469,1097,842,214,10,\N,9,'9',\N,2,57,+73.753s,\N,,,,,1
25470,1097,848,3,23,\N,10,'10',\N,1,57,+89.774s,\N,,,,,1
25471,1097,852,213,22,\N,11,'11',\N,0,57,+90.870s,\N,,,,,1
25472,1097,860,3,2,\N,0,'0',\N,0,56,\N,\N,,,,,1
25473,1097,825,210,20,\N,0,'0',\N,0,56,\N,\N,,,,,1
25474,1097,859,213,21,\N,0,'0',\N,0,56,\N,\N,,,,,1
25475,1097,858,210,27,\N,0,'0',\N,0,56,\N,\N,,,,,1
25476,1097,855,51,24,\N,0,'0',\N,0,56,\N,\N,,,,,1
25477,1097,846,1,4,\N,0,'0',\N,0,55,\N,\N,,,,,1
25478,1097,839,214,31,\N,0,'0',\N,0,41,\N,\N,,,,,3
25479,1097,844,6,16,\N,0,'0',\N,0,39,\N,\N,,,,,3
25480,1097,857,1,81,\N,0,'0',\N,0,13,\N,\N,,,,,3
