resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25522,1100,830,9,11,\N,2,'2',\N,18,57,+5.384s,\N,57,3,1:30.560,215.141,1
25523,1100,844,117,14,\N,3,'3',\N,15,57,+26.305s,\N,57,2,1:30.519,215.238,1
25524,1100,4,131,63,\N,4,'4',\N,12,57,+33.229s,\N,57,7,1:31.015,214.065,1
25525,1100,1,6,55,\N,5,'5',\N,10,57,+42.511s,\N,55,10,1:31.362,213.252,1
25526,1100,840,131,44,\N,6,'6',\N,8,57,+51.249s,\N,57,4,1:30.669,214.882,1
25527,1100,847,6,16,\N,7,'7',\N,6,57,+52.988s,\N,57,11,1:31.434,213.084,1
25528,1100,846,214,10,\N,8,'8',\N,4,57,+55.670s,\N,55,17,1:31.971,211.840,1
25529,1100,852,214,31,\N,9,'9',\N,2,57,+58.123s,\N,56,9,1:31.143,213.765,1
25530,1100,857,210,20,\N,10,'10',\N,1,57,+62.945s,\N,53,13,1:31.691,212.487,1
25531,1100,852,213,22,\N,11,'11',\N,0,57,+64.309s,\N,56,8,1:31.038,214.011,1
25532,1100,848,117,18,\N,12,'12',\N,0,57,+64.754s,\N,44,5,1:30.862,214.426,1
25533,1100,825,51,77,\N,13,'13',\N,0,57,+71.637s,\N,56,15,1:31.838,212.147,1
25534,1100,842,3,23,\N,14,'14',\N,0,57,+72.861s,\N,55,16,1:31.852,212.115,1
25535,1100,839,210,27,\N,15,'15',\N,0,57,+74.950s,\N,36,6,1:30.901,214.334,1
25536,1100,860,51,24,\N,16,'16',\N,0,57,+78.440s,\N,56,14,1:31.736,212.383,1
25537,1100,858,1,4,\N,17,'17',\N,0,57,+87.717s,\N,47,20,1:32.401,210.854,1
25538,1100,822,213,21,\N,18,'18',\N,0,57,+88.949s,\N,57,12,1:31.562,212.786,1
25539,1100,855,1,81,\N,0,'0',\N,0,56,\N,\N,56,18,1:32.006,211.760,1
25540,1100,859,3,2,\N,0,'0',\N,0,56,\N,\N,50,19,1:32.384,210.893,1
25541,1101,830,9,1,\N,1,'1',\N,26,57,1:27:38.241,\N,56,1,1:29.708,217.184,1
25542,1101,856,9,11,\N,2,'2',\N,18,57,+5.384s,\N,57,3,1:30.560,215.141,1
25543,1101,4,117,14,\N,3,'3',\N,15,57,+26.305s,\N,57,2,1:30.519,215.238,1
25544,1101,847,131,63,\N,4,'4',\N,12,57,+33.229s,\N,57,7,1:31.015,214.065,1
25545,1101,832,6,55,\N,5,'5',\N,10,57,+42.511s,\N,55,10,1:31.362,213.252,1
25546,1101,1,131,44,\N,6,'6',\N,8,57,+51.249s,\N,57,4,1:30.669,214.882,1
25547,1101,844,6,16,\N,7,'7',\N,6,57,+52.988s,\N,57,11,1:31.434,213.084,1
